R, 1567845645.827434, 0.830000, -539.860000
R, 1567845645.841120, 11543.370000, -528.380000
R, 1567845645.852648, 12895.730000, -514.910000
R, 1567845645.859847, 13877.810000, -505.440000
R, 1567845645.867635, 14425.190000, -490.700000
R, 1567845645.878547, 15326.760000, -475.220000
R, 1567845645.889636, 16888.420000, -463.700000
R, 1567845645.900601, 20543.020000, -443.380000
R, 1567845645.911412, 24390.810000, -419.040000
R, 1567845645.922498, 26982.830000, -390.720000
R, 1567845645.933711, 31297.510000, -369.350000
R, 1567845645.944353, 32311.780000, -336.050000
R, 1567845645.955709, 28431.790000, -306.380000
R, 1567845645.966296, 29623.160000, -274.890000
R, 1567845645.977711, 38751.600000, -248.430000
R, 1567845645.988662, 47042.860000, -201.610000
R, 1567845645.999673, 49329.000000, -150.460000
R, 1567845646.010667, 43307.770000, -120.890000
R, 1567845646.021256, 50713.560000, -71.470000
R, 1567845646.032727, 61693.450000, -10.070000
R, 1567845646.043655, 61886.640000, 50.280000
R, 1567845646.054091, 55575.620000, 88.220000
R, 1567845646.065097, 78485.270000, 165.230000
R, 1567845646.076747, 67296.090000, 239.040000
R, 1567845646.087538, 66314.020000, 309.800000
R, 1567845646.097890, 78018.390000, 363.050000
R, 1567845646.109689, 59359.010000, 428.230000
R, 1567845646.119959, 73961.300000, 499.980000
R, 1567845646.131572, 81318.790000, 555.470000
R, 1567845646.142701, 63110.210000, 622.620000
R, 1567845646.152790, 76891.420000, 699.270000
R, 1567845646.163857, 75539.060000, 771.510000
R, 1567845646.174650, 61274.860000, 813.340000
R, 1567845646.186552, 81141.700000, 893.850000
R, 1567845646.196884, 66040.330000, 966.620000
R, 1567845646.207829, 70242.310000, 1041.210000
R, 1567845646.219011, 80240.120000, 1095.960000
R, 1567845646.229512, 60292.790000, 1160.320000
R, 1567845646.241549, 80529.910000, 1239.250000
R, 1567845646.251860, 81222.190000, 1294.680000
R, 1567845646.262846, 69002.640000, 1364.320000
R, 1567845646.273729, 82510.160000, 1447.540000
R, 1567845646.284408, 68052.770000, 1514.830000
R, 1567845646.295795, 74138.400000, 1565.420000
R, 1567845646.306644, 84345.510000, 1651.630000
R, 1567845646.317746, 70322.800000, 1722.970000
R, 1567845646.328738, 82284.760000, 1808.270000
R, 1567845646.339854, 69308.530000, 1855.580000
R, 1567845646.350444, 77197.310000, 1929.800000
R, 1567845646.361749, 84812.390000, 2017.420000
R, 1567845646.372755, 69131.440000, 2091.430000
R, 1567845646.383557, 85617.370000, 2149.860000
R, 1567845646.394159, 67360.490000, 2224.910000
R, 1567845646.405720, 83331.230000, 2305.070000
R, 1567845646.416313, 90125.240000, 2366.580000
R, 1567845646.427784, 73462.210000, 2441.790000
R, 1567845646.438797, 89046.570000, 2531.540000
R, 1567845646.449166, 71272.680000, 2603.390000
R, 1567845646.460559, 84152.310000, 2660.810000
R, 1567845646.471335, 83798.120000, 2750.100000
R, 1567845646.482766, 82944.850000, 2831.020000
R, 1567845646.493632, 91010.720000, 2919.570000
R, 1567845646.504807, 68841.650000, 2966.550000
R, 1567845646.515530, 94214.530000, 3059.260000
R, 1567845646.526123, 74637.480000, 3141.000000
R, 1567845646.537652, 86776.540000, 3200.230000
R, 1567845646.547964, 81866.180000, 3288.090000
R, 1567845646.559625, 83009.240000, 3367.980000
R, 1567845646.570155, 97160.740000, 3462.850000
R, 1567845646.581596, 76843.120000, 3515.280000
R, 1567845646.591820, 94536.520000, 3610.290000
R, 1567845646.603545, 71530.270000, 3687.010000
R, 1567845646.614504, 90769.220000, 3783.330000
R, 1567845646.625054, 83782.020000, 3840.500000
R, 1567845646.635901, 91139.510000, 3929.210000
R, 1567845646.646863, 79660.540000, 4016.680000
R, 1567845646.658665, 78549.670000, 4070.290000
R, 1567845646.668909, 97869.120000, 4169.380000
R, 1567845646.679807, 82461.860000, 4252.580000
R, 1567845646.691612, 95727.880000, 4348.630000
R, 1567845646.701775, 72834.330000, 4398.330000
R, 1567845646.712863, 97434.430000, 4493.460000
R, 1567845646.723695, 78662.370000, 4580.210000
R, 1567845646.734923, 90366.730000, 4675.070000
R, 1567845646.745703, 83170.240000, 4731.820000
R, 1567845646.756766, 88080.600000, 4816.340000
R, 1567845646.767735, 89513.460000, 4911.420000
R, 1567845646.778660, 80014.730000, 4966.020000
R, 1567845646.789790, 87340.020000, 5056.150000
R, 1567845646.800417, 55108.740000, 5117.140000
R, 1567845646.811578, 55623.920000, 5173.340000
R, 1567845646.823557, 48153.730000, 5206.210000
R, 1567845646.833846, 33744.640000, 5243.720000
R, 1567845646.844710, 18949.160000, 5265.470000
R, 1567845646.855546, 10335.910000, 5274.000000
R, 1567845646.866781, 354.190000, 5274.240000
R, 1567845646.877714, -4491.770000, 5270.300000
R, 1567845646.888656, -7180.400000, 5263.360000
R, 1567845646.899736, -9563.130000, 5256.840000
R, 1567845646.910901, -15777.550000, 5241.980000
R, 1567845646.921351, -24728.900000, 5218.260000
R, 1567845646.932385, -30460.340000, 5186.200000
R, 1567845646.943770, -35000.410000, 5162.310000
R, 1567845646.954248, -36690.860000, 5124.570000
R, 1567845646.965737, -34436.920000, 5089.240000
R, 1567845646.976632, -40023.460000, 5045.090000
R, 1567845646.987606, -55962.010000, 5006.900000
R, 1567845646.998706, -57056.780000, 4948.520000
R, 1567845647.009671, -51985.420000, 4895.010000
R, 1567845647.020691, -65621.740000, 4825.520000
R, 1567845647.031545, -68970.440000, 4778.460000
R, 1567845647.042016, -55479.030000, 4719.610000
R, 1567845647.053661, -69372.930000, 4645.450000
