T, 1567866560.216547, 5438
T, 1567866560.219270, 5392
T, 1567866560.222317, 5349
T, 1567866560.225101, 5305
T, 1567866560.228134, 5260
T, 1567866560.230906, 5212
T, 1567866560.233616, 5169
T, 1567866560.236655, 5122
T, 1567866560.239370, 5076
T, 1567866560.242127, 5029
T, 1567866560.245196, 4982
T, 1567866560.247913, 4936
T, 1567866560.250623, 4890
T, 1567866560.254039, 4842
T, 1567866560.256737, 4797
T, 1567866560.259735, 4749
T, 1567866560.262585, 4703
T, 1567866560.265337, 4655
T, 1567866560.268570, 4607
T, 1567866560.271986, 4561
T, 1567866560.274071, 4514
T, 1567866560.276874, 4464
T, 1567866560.279842, 4413
T, 1567866560.283170, 4362
T, 1567866560.285339, 4311
T, 1567866560.288137, 4255
T, 1567866560.291463, 4198
T, 1567866560.294874, 4144
T, 1567866560.296591, 4087
T, 1567866560.299742, 4031
T, 1567866560.302490, 3973
T, 1567866560.305260, 3922
T, 1567866560.308149, 3872
T, 1567866560.311090, 3829
T, 1567866560.314434, 3785
T, 1567866560.316845, 3753
T, 1567866560.319830, 3728
T, 1567866560.322829, 3713
T, 1567866560.325716, 3701
T, 1567866560.328592, 3698
T, 1567866560.331396, 3703
T, 1567866560.333960, 3714
T, 1567866560.337492, 3728
T, 1567866560.339628, 3744
T, 1567866560.342396, 3762
T, 1567866560.345711, 3784
T, 1567866560.349452, 3809
T, 1567866560.350797, 3835
T, 1567866560.353879, 3862
T, 1567866560.356967, 3888
T, 1567866560.360161, 3917
T, 1567866560.362659, 3943
T, 1567866560.365483, 3970
T, 1567866560.368167, 4001
T, 1567866560.372227, 4029
T, 1567866560.373808, 4059
T, 1567866560.377156, 4088
T, 1567866560.379742, 4120
T, 1567866560.382822, 4149
T, 1567866560.385294, 4181
T, 1567866560.388167, 4216
T, 1567866560.390921, 4249
T, 1567866560.393964, 4281
T, 1567866560.396935, 4317
T, 1567866560.399695, 4349
T, 1567866560.403164, 4388
T, 1567866560.405248, 4424
T, 1567866560.408246, 4459
T, 1567866560.411052, 4498
T, 1567866560.414917, 4536
T, 1567866560.416655, 4576
T, 1567866560.419370, 4613
T, 1567866560.422379, 4649
T, 1567866560.426802, 4687
T, 1567866560.427993, 4725
T, 1567866560.430916, 4765
T, 1567866560.434086, 4801
T, 1567866560.436820, 4835
T, 1567866560.439695, 4868
T, 1567866560.442513, 4908
T, 1567866560.445436, 4941
T, 1567866560.449162, 4974
T, 1567866560.450820, 5008
T, 1567866560.453908, 5040
T, 1567866560.457023, 5070
T, 1567866560.459630, 5099
T, 1567866560.462250, 5132
T, 1567866560.465526, 5159
T, 1567866560.468089, 5186
T, 1567866560.471285, 5214
T, 1567866560.474067, 5240
T, 1567866560.476783, 5264
T, 1567866560.480886, 5286
T, 1567866560.482279, 5309
T, 1567866560.484989, 5335
T, 1567866560.488196, 5357
T, 1567866560.493112, 5378
T, 1567866560.493891, 5399
T, 1567866560.496568, 5420
T, 1567866560.499684, 5441
T, 1567866560.503156, 5462
T, 1567866560.505425, 5480
T, 1567866560.508203, 5501
T, 1567866560.511260, 5521
T, 1567866560.514418, 5540
T, 1567866560.516386, 5558
T, 1567866560.519471, 5577
T, 1567866560.522213, 5596
T, 1567866560.524833, 5614
T, 1567866560.528320, 5634
T, 1567866560.530982, 5653
T, 1567866560.534142, 5672
T, 1567866560.536732, 5691
T, 1567866560.539480, 5715
T, 1567866560.542614, 5731
T, 1567866560.547953, 5753
T, 1567866560.548552, 5775
T, 1567866560.550802, 5795
T, 1567866560.553636, 5820
T, 1567866560.556358, 5840
T, 1567866560.559529, 5864
T, 1567866560.562274, 5891
T, 1567866560.565565, 5912
T, 1567866560.568850, 5943
T, 1567866560.570614, 5965
T, 1567866560.573648, 5997
T, 1567866560.576757, 6024
T, 1567866560.579853, 6056
T, 1567866560.582294, 6089
T, 1567866560.585125, 6124
T, 1567866560.588476, 6158
T, 1567866560.590868, 6196
T, 1567866560.593614, 6236
T, 1567866560.596928, 6275
T, 1567866560.599634, 6315
T, 1567866560.604061, 6357
T, 1567866560.605058, 6400
T, 1567866560.607952, 6446
T, 1567866560.610657, 6493
T, 1567866560.613808, 6538
T, 1567866560.616485, 6590
T, 1567866560.619591, 6641
T, 1567866560.622990, 6693
T, 1567866560.625210, 6746
T, 1567866560.628314, 6799
T, 1567866560.631026, 6856
T, 1567866560.634606, 6913
T, 1567866560.636592, 6969
T, 1567866560.639390, 7026
T, 1567866560.642160, 7084
T, 1567866560.646532, 7143
T, 1567866560.647785, 7202
T, 1567866560.650958, 7261
T, 1567866560.653864, 7325
T, 1567866560.657373, 7387
T, 1567866560.659568, 7447
T, 1567866560.662459, 7512
T, 1567866560.664948, 7578
T, 1567866560.667910, 7644
T, 1567866560.670774, 7713
T, 1567866560.673775, 7783
T, 1567866560.676732, 7855
T, 1567866560.679897, 7929
T, 1567866560.682691, 8001
T, 1567866560.685198, 8077
T, 1567866560.687885, 8157
T, 1567866560.690934, 8235
T, 1567866560.693707, 8308
T, 1567866560.696453, 8389
T, 1567866560.700128, 8472
T, 1567866560.702018, 8557
T, 1567866560.704815, 8637
T, 1567866560.708154, 8721
T, 1567866560.712237, 8810
