R; 1567791909.661138; -96.800000; 0.000000
R; 1567791909.661241; -96.800000; 0.000000
R; 1567791909.661355; -96.790000; 0.000000
R; 1567791909.661664; -96.790000; 0.000000
R; 1567791909.661924; -96.790000; 0.000000
R; 1567791909.662014; -96.800000; 0.000000
R; 1567791909.662098; -96.800000; 0.000000
R; 1567791909.662192; -96.800000; 0.000000
R; 1567791909.662274; -96.800000; 0.000000
R; 1567791909.662368; -96.800000; 0.000000
R; 1567791909.662456; -96.790000; 0.000000
R; 1567791909.662548; -96.800000; 0.000000
R; 1567791909.662629; -96.800000; 0.000000
R; 1567791909.662724; -96.790000; 0.000000
R; 1567791909.662816; -96.800000; 0.000000
R; 1567791909.662903; -96.790000; 0.000000
R; 1567791909.662994; -96.800000; 0.000000
R; 1567791909.682905; 2.500000; 1805.000000
R; 1567791909.693318; 69.310000; 1805.000000
R; 1567791909.705019; 134.950000; 1805.000000
R; 1567791909.715891; -147.920000; 1805.000000
R; 1567791909.726259; -103.300000; 1805.000000
R; 1567791909.737081; -33.480000; 1805.000000
R; 1567791909.747963; 42.820000; 2166.000000
R; 1567791909.759793; 85.210000; 2166.000000
R; 1567791909.769994; 157.350000; 2166.000000
R; 1567791909.781072; -124.090000; 2166.000000
R; 1567791909.792041; -53.810000; 2166.000000
R; 1567791909.802967; -0.810000; 2527.000000
R; 1567791909.813986; 71.860000; 2527.000000
R; 1567791909.825013; 144.060000; 2527.000000
R; 1567791909.835945; -133.260000; 2527.000000
R; 1567791909.846880; -85.880000; 2527.000000
R; 1567791909.858051; -6.780000; 2527.000000
R; 1567791909.869006; 69.510000; 2888.000000
R; 1567791909.879696; 117.450000; 2888.000000
R; 1567791909.891021; -157.590000; 2888.000000
R; 1567791909.901965; -82.050000; 2888.000000
R; 1567791909.912531; 0.420000; 3249.000000
R; 1567791909.923590; 54.000000; 3249.000000
R; 1567791909.935040; 127.630000; 3249.000000
R; 1567791909.945988; -144.560000; 3249.000000
R; 1567791909.956605; -67.910000; 3249.000000
R; 1567791909.967943; -11.450000; 3249.000000
R; 1567791909.978935; 69.460000; 3610.000000
R; 1567791909.989480; 148.150000; 3610.000000
R; 1567791910.001056; -150.500000; 3610.000000
R; 1567791910.011530; -71.920000; 3610.000000
R; 1567791910.022928; 16.040000; 3971.000000
R; 1567791910.033312; 92.770000; 3971.000000
R; 1567791910.044791; 148.020000; 3971.000000
R; 1567791910.055997; -122.590000; 3971.000000
R; 1567791910.066823; -41.970000; 3971.000000
R; 1567791910.077217; 46.490000; 4332.000000
R; 1567791910.088800; 96.150000; 4332.000000
R; 1567791910.099781; -176.300000; 4332.000000
R; 1567791910.110987; -92.760000; 4332.000000
R; 1567791910.121141; -37.430000; 4332.000000
R; 1567791910.132817; 49.470000; 4693.000000
R; 1567791910.143935; 117.560000; 4693.000000
R; 1567791910.155114; -175.520000; 4693.000000
R; 1567791910.165733; -138.050000; 4693.000000
R; 1567791910.176725; -100.590000; 4693.000000
R; 1567791910.187018; -78.300000; 4693.000000
R; 1567791910.198832; -71.880000; 4693.000000
R; 1567791910.208983; -74.540000; 4693.000000
R; 1567791910.220018; -87.410000; 4693.000000
R; 1567791910.231037; -109.240000; 4693.000000
R; 1567791910.241913; -128.540000; 4693.000000
R; 1567791910.253006; -168.270000; 4693.000000
R; 1567791910.264227; 140.620000; 4693.000000
R; 1567791910.275072; 88.150000; 4693.000000
R; 1567791910.286112; 53.150000; 4693.000000
R; 1567791910.297051; -13.140000; 4332.000000
R; 1567791910.307712; -83.730000; 4332.000000
R; 1567791910.318711; -153.030000; 4332.000000
R; 1567791910.329678; 151.660000; 4332.000000
R; 1567791910.340860; 78.430000; 4332.000000
R; 1567791910.351321; 8.050000; 4332.000000
R; 1567791910.362438; -44.640000; 3971.000000
R; 1567791910.373759; -114.760000; 3971.000000
R; 1567791910.384419; 170.790000; 3971.000000
R; 1567791910.395781; 97.870000; 3971.000000
R; 1567791910.406266; 56.060000; 3971.000000
R; 1567791910.417797; -15.300000; 3610.000000
R; 1567791910.428755; -86.340000; 3610.000000
R; 1567791910.439356; -152.670000; 3610.000000
R; 1567791910.450922; 156.710000; 3610.000000
R; 1567791910.461125; 90.700000; 3610.000000
R; 1567791910.472941; 34.000000; 3610.000000
R; 1567791910.482999; -8.680000; 3249.000000
R; 1567791910.494070; -67.660000; 3249.000000
R; 1567791910.505725; -119.310000; 3249.000000
R; 1567791910.515985; -174.360000; 3249.000000
R; 1567791910.526845; 145.680000; 3249.000000
R; 1567791910.538015; 91.520000; 3249.000000
R; 1567791910.549047; 41.470000; 3249.000000
R; 1567791910.559998; -18.530000; 2888.000000
R; 1567791910.571083; -57.290000; 2888.000000
R; 1567791910.582174; -110.060000; 2888.000000
R; 1567791910.593127; -160.520000; 2888.000000
R; 1567791910.603878; 163.340000; 2888.000000
R; 1567791910.614746; 116.950000; 2888.000000
R; 1567791910.626003; 77.460000; 2888.000000
R; 1567791910.637068; 42.000000; 2888.000000
R; 1567791910.647424; 15.860000; 2888.000000
R; 1567791910.659067; -27.030000; 2527.000000
R; 1567791910.669511; -66.710000; 2527.000000
R; 1567791910.680917; -102.920000; 2527.000000
R; 1567791910.691594; -125.160000; 2527.000000
R; 1567791910.702488; -159.310000; 2527.000000
R; 1567791910.713881; 165.400000; 2527.000000
R; 1567791910.725119; 144.040000; 2527.000000
R; 1567791910.735949; 114.620000; 2527.000000
R; 1567791910.747039; 86.530000; 2527.000000
R; 1567791910.757958; 59.270000; 2527.000000
R; 1567791910.768092; 40.060000; 2527.000000
