R, 1567796206.462972, -821.080000, 278.470000, 11.000000, 4238.470000
R, 1567796206.463068, -1609.950000, 276.940000, 11.000000, 4236.940000
R, 1567796206.463164, -1690.450000, 275.790000, 11.000000, 4235.790000
R, 1567796206.463251, -1271.860000, 274.410000, 11.000000, 4234.410000
R, 1567796206.463465, -965.970000, 273.390000, 11.000000, 4233.390000
R, 1567796206.463680, -998.170000, 272.360000, 11.000000, 4232.360000
R, 1567796206.463772, -1207.470000, 271.540000, 11.000000, 4231.540000
R, 1567796206.463860, -1835.350000, 269.800000, 11.000000, 4229.800000
R, 1567796206.463946, -2914.020000, 267.040000, 11.000000, 4227.040000
R, 1567796206.464032, -4201.980000, 262.300000, 11.000000, 4222.300000
R, 1567796206.464123, -6971.100000, 257.550000, 11.000000, 4217.550000
R, 1567796206.464222, -9402.130000, 248.320000, 11.000000, 4208.320000
R, 1567796206.481917, 72544.540000, 44.930000, 3.000000, 1124.930000
R, 1567796206.492550, 64349.870000, 110.060000, 3.000000, 1190.060000
R, 1567796206.504099, 72383.550000, 186.770000, 3.000000, 1266.770000
R, 1567796206.515285, 73220.720000, 236.730000, 3.000000, 1316.730000
R, 1567796206.525616, 69405.130000, 306.500000, 3.000000, 1386.500000
R, 1567796206.536506, 76247.440000, 25.160000, 4.000000, 1465.160000
R, 1567796206.547412, 66185.220000, 70.330000, 4.000000, 1510.330000
R, 1567796206.559251, 71433.670000, 141.130000, 4.000000, 1581.130000
R, 1567796206.569479, 79724.940000, 222.290000, 4.000000, 1662.290000
R, 1567796206.581020, 68358.660000, 293.270000, 4.000000, 1733.270000
R, 1567796206.592122, 76247.440000, 345.300000, 4.000000, 1785.300000
R, 1567796206.602287, 70918.490000, 61.740000, 5.000000, 1861.740000
R, 1567796206.614043, 71948.860000, 133.060000, 5.000000, 1933.060000
R, 1567796206.625107, 81817.880000, 216.520000, 5.000000, 2016.520000
R, 1567796206.635181, 70628.700000, 264.720000, 5.000000, 2064.720000
R, 1567796206.646338, 77825.190000, 342.640000, 5.000000, 2142.640000
R, 1567796206.658048, 81061.200000, 61.390000, 6.000000, 2221.390000
R, 1567796206.668215, 69308.530000, 108.690000, 6.000000, 2268.690000
R, 1567796206.680101, 84409.900000, 192.340000, 6.000000, 2352.340000
R, 1567796206.690934, 72222.550000, 269.540000, 6.000000, 2429.540000
R, 1567796206.701045, 76971.910000, 350.570000, 6.000000, 2510.570000
R, 1567796206.712151, 81190.000000, 45.980000, 7.000000, 2565.980000
R, 1567796206.723296, 72818.230000, 119.170000, 7.000000, 2639.170000
R, 1567796206.734265, 87758.610000, 206.410000, 7.000000, 2726.410000
R, 1567796206.745271, 75796.650000, 258.150000, 7.000000, 2778.150000
R, 1567796206.756095, 81222.190000, 339.320000, 7.000000, 2859.320000
R, 1567796206.766756, 77149.010000, 62.250000, 8.000000, 2942.250000
R, 1567796206.778075, 73172.420000, 139.800000, 8.000000, 3019.800000
R, 1567796206.789435, 89320.260000, 200.760000, 8.000000, 3080.760000
R, 1567796206.799826, 75732.250000, 280.500000, 8.000000, 3160.500000
R, 1567796206.810636, 87436.620000, 7.620000, 9.000000, 3247.620000
R, 1567796206.822050, 79209.750000, 86.120000, 9.000000, 3326.120000
R, 1567796206.832665, 80046.930000, 140.760000, 9.000000, 3380.760000
R, 1567796206.844435, 87919.600000, 231.130000, 9.000000, 3471.130000
R, 1567796206.855218, 80417.220000, 311.950000, 9.000000, 3551.950000
R, 1567796206.866185, 89416.860000, 12.970000, 10.000000, 3612.970000
R, 1567796206.876602, 73703.710000, 91.780000, 10.000000, 3691.780000
R, 1567796206.888169, 88579.690000, 179.550000, 10.000000, 3779.550000
R, 1567796206.899128, 86712.140000, 265.000000, 10.000000, 3865.000000
R, 1567796206.909647, 82606.750000, 321.380000, 10.000000, 3921.380000
R, 1567796206.921022, 85842.760000, 50.670000, 11.000000, 4010.670000
R, 1567796206.932256, 79708.840000, 130.060000, 11.000000, 4090.060000
R, 1567796206.943234, 91574.200000, 222.740000, 11.000000, 4182.740000
R, 1567796206.953543, 78678.470000, 276.430000, 11.000000, 4236.430000
R, 1567796206.965074, 89819.350000, 5.980000, 12.000000, 4325.980000
R, 1567796206.976195, 75152.670000, 87.120000, 12.000000, 4407.120000
R, 1567796206.986413, 82542.360000, 143.450000, 12.000000, 4463.450000
R, 1567796206.998222, 88547.490000, 235.160000, 12.000000, 4555.160000
R, 1567796207.009088, 82622.850000, 318.070000, 12.000000, 4638.070000
R, 1567796207.019165, 90962.420000, 47.960000, 13.000000, 4727.960000
R, 1567796207.030155, 75088.270000, 99.200000, 13.000000, 4779.200000
R, 1567796207.041364, 90431.130000, 188.920000, 13.000000, 4868.920000
R, 1567796207.052203, 77245.610000, 272.040000, 13.000000, 4952.040000
R, 1567796207.063997, 75812.750000, 349.150000, 13.000000, 5029.150000
R, 1567796207.074444, 67038.500000, 34.890000, 14.000000, 5074.890000
R, 1567796207.085401, 42631.590000, 81.450000, 14.000000, 5121.450000
R, 1567796207.096431, 33293.850000, 117.150000, 14.000000, 5157.150000
R, 1567796207.107413, 25099.190000, 134.270000, 14.000000, 5174.270000
R, 1567796207.118350, 8870.850000, 146.170000, 14.000000, 5186.170000
R, 1567796207.129447, -1320.160000, 146.100000, 14.000000, 5186.100000
R, 1567796207.140316, -4395.180000, 141.190000, 14.000000, 5181.190000
R, 1567796207.150811, -6311.020000, 136.880000, 14.000000, 5176.880000
R, 1567796207.162212, -8371.760000, 128.760000, 14.000000, 5168.760000
