T, 1567792690.910133, 19130
T, 1567792690.913217, 19122
T, 1567792690.916067, 19120
T, 1567792690.918974, 19114
T, 1567792690.921568, 19107
T, 1567792690.924798, 19098
T, 1567792690.927486, 19089
T, 1567792690.930562, 19080
T, 1567792690.933281, 19067
T, 1567792690.936487, 19055
T, 1567792690.940291, 19041
T, 1567792690.942050, 19024
T, 1567792690.944782, 19010
T, 1567792690.948021, 18992
T, 1567792690.950797, 18975
T, 1567792690.953858, 18958
T, 1567792690.956569, 18930
T, 1567792690.959904, 18903
T, 1567792690.962646, 18882
T, 1567792690.965536, 18857
T, 1567792690.968264, 18829
T, 1567792690.971378, 18803
T, 1567792690.974077, 18774
T, 1567792690.977156, 18749
T, 1567792690.979775, 18721
T, 1567792690.982873, 18687
T, 1567792690.985532, 18653
T, 1567792690.988674, 18615
T, 1567792690.991412, 18589
T, 1567792690.994811, 18554
T, 1567792690.997210, 18524
T, 1567792691.000298, 18484
T, 1567792691.003031, 18450
T, 1567792691.006329, 18409
T, 1567792691.008632, 18375
T, 1567792691.011664, 18333
T, 1567792691.014363, 18297
T, 1567792691.017934, 18255
T, 1567792691.020200, 18216
T, 1567792691.023231, 18174
T, 1567792691.025972, 18133
T, 1567792691.029206, 18087
T, 1567792691.031932, 18046
T, 1567792691.035055, 18001
T, 1567792691.037729, 17955
T, 1567792691.041153, 17908
T, 1567792691.043782, 17861
T, 1567792691.046877, 17817
T, 1567792691.050811, 17769
T, 1567792691.052403, 17718
T, 1567792691.055117, 17669
T, 1567792691.058214, 17618
T, 1567792691.060974, 17572
T, 1567792691.064024, 17518
T, 1567792691.066782, 17466
T, 1567792691.069854, 17408
T, 1567792691.072806, 17355
T, 1567792691.075598, 17300
T, 1567792691.078258, 17245
T, 1567792691.081669, 17189
T, 1567792691.084109, 17130
T, 1567792691.087215, 17076
T, 1567792691.089879, 17013
T, 1567792691.093107, 16956
T, 1567792691.095734, 16899
T, 1567792691.098838, 16841
T, 1567792691.101521, 16779
T, 1567792691.105577, 16716
T, 1567792691.107376, 16652
T, 1567792691.110412, 16592
T, 1567792691.113022, 16528
T, 1567792691.116702, 16466
T, 1567792691.118984, 16399
T, 1567792691.122081, 16332
T, 1567792691.125038, 16266
T, 1567792691.127874, 16192
T, 1567792691.130756, 16125
T, 1567792691.133908, 16054
T, 1567792691.136557, 15982
T, 1567792691.139695, 15913
T, 1567792691.142440, 15838
T, 1567792691.145478, 15763
T, 1567792691.148208, 15691
T, 1567792691.151115, 15615
T, 1567792691.153893, 15536
T, 1567792691.157182, 15466
T, 1567792691.160726, 15378
T, 1567792691.162708, 15302
T, 1567792691.165433, 15220
T, 1567792691.168505, 15140
T, 1567792691.171391, 15058
T, 1567792691.174235, 14974
T, 1567792691.177025, 14894
T, 1567792691.180101, 14810
T, 1567792691.182797, 14730
T, 1567792691.185911, 14639
T, 1567792691.188636, 14554
T, 1567792691.191707, 14465
T, 1567792691.194398, 14380
T, 1567792691.197537, 14291
T, 1567792691.200309, 14201
T, 1567792691.203292, 14120
T, 1567792691.206069, 14028
T, 1567792691.209136, 13938
